date,date_time,kommune_no,kommune_name,fylke_no,fylke_name,population,cases
2020-03-26,2020-03-26T04:00:00Z,4636,Solund,46,Vestland,802,2
2020-03-26,2020-03-26T04:00:00Z,4637,Hyllestad,46,Vestland,1328,0
2020-03-26,2020-03-26T04:00:00Z,4638,Høyanger,46,Vestland,4101,2
2020-03-26,2020-03-26T04:00:00Z,4639,Vik,46,Vestland,2635,0
2020-03-26,2020-03-26T04:00:00Z,4640,Sogndal,46,Vestland,11847,6
2020-03-26,2020-03-26T04:00:00Z,4641,Aurland,46,Vestland,1781,0
2020-03-26,2020-03-26T04:00:00Z,4642,Lærdal,46,Vestland,2126,0
2020-03-26,2020-03-26T04:00:00Z,4643,Årdal,46,Vestland,5193,0
2020-03-26,2020-03-26T04:00:00Z,4644,Luster,46,Vestland,5174,3
2020-03-26,2020-03-26T04:00:00Z,4645,Askvoll,46,Vestland,3011,0
2020-03-26,2020-03-26T04:00:00Z,4646,Fjaler,46,Vestland,2802,0
2020-03-26,2020-03-26T04:00:00Z,4647,Sunnfjord,46,Vestland,22030,11
2020-03-26,2020-03-26T04:00:00Z,4648,Bremanger,46,Vestland,3629,0
2020-03-26,2020-03-26T04:00:00Z,4649,Stad,46,Vestland,9457,0
2020-03-26,2020-03-26T04:00:00Z,4650,Gloppen,46,Vestland,5854,2
2020-03-26,2020-03-26T04:00:00Z,4651,Stryn,46,Vestland,7130,8
2020-03-26,2020-03-26T04:00:00Z,5001,Trondheim,50,Trøndelag,205163,113
2020-03-26,2020-03-26T04:00:00Z,5006,Steinkjer,50,Trøndelag,24357,6
2020-03-26,2020-03-26T04:00:00Z,5007,Namsos,50,Trøndelag,15230,1
2020-03-26,2020-03-26T04:00:00Z,5014,Frøya,50,Trøndelag,5151,0
2020-03-26,2020-03-26T04:00:00Z,5020,Osen,50,Trøndelag,948,0
2020-03-26,2020-03-26T04:00:00Z,5021,Oppdal,50,Trøndelag,7001,6
2020-03-26,2020-03-26T04:00:00Z,5022,Rennebu,50,Trøndelag,2486,3
2020-03-26,2020-03-26T04:00:00Z,5025,Røros,50,Trøndelag,5581,0
2020-03-26,2020-03-26T04:00:00Z,5026,Holtålen,50,Trøndelag,1981,1
2020-03-26,2020-03-26T04:00:00Z,5027,Midtre Gauldal,50,Trøndelag,6238,4
2020-03-26,2020-03-26T04:00:00Z,5028,Melhus,50,Trøndelag,16733,3
2020-03-26,2020-03-26T04:00:00Z,5029,Skaun,50,Trøndelag,8325,4
2020-03-26,2020-03-26T04:00:00Z,5031,Malvik,50,Trøndelag,14148,2
2020-03-26,2020-03-26T04:00:00Z,5032,Selbu,50,Trøndelag,4062,2
2020-03-26,2020-03-26T04:00:00Z,5033,Tydal,50,Trøndelag,769,0
2020-03-26,2020-03-26T04:00:00Z,5034,Meråker,50,Trøndelag,2422,0
2020-03-26,2020-03-26T04:00:00Z,5035,Stjørdal,50,Trøndelag,24145,4
2020-03-26,2020-03-26T04:00:00Z,5036,Frosta,50,Trøndelag,2627,28
2020-03-26,2020-03-26T04:00:00Z,5037,Levanger,50,Trøndelag,20164,10
2020-03-26,2020-03-26T04:00:00Z,5038,Verdal,50,Trøndelag,14948,9
2020-03-26,2020-03-26T04:00:00Z,5041,Snåsa,50,Trøndelag,2063,0
2020-03-26,2020-03-26T04:00:00Z,5042,Lierne,50,Trøndelag,1355,0
2020-03-26,2020-03-26T04:00:00Z,5043,Røyrvik,50,Trøndelag,461,0
2020-03-26,2020-03-26T04:00:00Z,5044,Namsskogan,50,Trøndelag,843,0
2020-03-26,2020-03-26T04:00:00Z,5045,Grong,50,Trøndelag,2359,2
2020-03-26,2020-03-26T04:00:00Z,5046,Høylandet,50,Trøndelag,1231,0
2020-03-26,2020-03-26T04:00:00Z,5047,Overhalla,50,Trøndelag,3884,1
2020-03-26,2020-03-26T04:00:00Z,5049,Flatanger,50,Trøndelag,1103,0
2020-03-26,2020-03-26T04:00:00Z,5052,Leka,50,Trøndelag,557,0
2020-03-26,2020-03-26T04:00:00Z,5053,Inderøy,50,Trøndelag,6816,3
2020-03-26,2020-03-26T04:00:00Z,5054,Indre Fosen,50,Trøndelag,10084,1
2020-03-26,2020-03-26T04:00:00Z,5055,Heim,50,Trøndelag,5963,0
2020-03-26,2020-03-26T04:00:00Z,5056,Hitra,50,Trøndelag,5050,0
2020-03-26,2020-03-26T04:00:00Z,5057,Ørland,50,Trøndelag,10323,7
2020-03-26,2020-03-26T04:00:00Z,5058,Åfjord,50,Trøndelag,4288,1
