date,date_time,kommune_bydel_no,kommune_bydel_name,bydel_no,bydel_name,kommune_no,kommune_name,fylke_no,fylke_name,population,cases
2020-03-26,2020-03-26T04:00:00Z,4207,Flekkefjord,,,4207,Flekkefjord,42,Agder,9028,0
2020-03-26,2020-03-26T04:00:00Z,4211,Gjerstad,,,4211,Gjerstad,42,Agder,2428,0
2020-03-26,2020-03-26T04:00:00Z,4212,Vegårshei,,,4212,Vegårshei,42,Agder,2097,0
2020-03-26,2020-03-26T04:00:00Z,4213,Tvedestrand,,,4213,Tvedestrand,42,Agder,6053,0
2020-03-26,2020-03-26T04:00:00Z,4214,Froland,,,4214,Froland,42,Agder,5951,0
2020-03-26,2020-03-26T04:00:00Z,4215,Lillesand,,,4215,Lillesand,42,Agder,11074,3
2020-03-26,2020-03-26T04:00:00Z,4216,Birkenes,,,4216,Birkenes,42,Agder,5226,3
2020-03-26,2020-03-26T04:00:00Z,4217,Åmli,,,4217,Åmli,42,Agder,1836,1
2020-03-26,2020-03-26T04:00:00Z,4218,Iveland,,,4218,Iveland,42,Agder,1331,1
2020-03-26,2020-03-26T04:00:00Z,4219,Evje og Hornnes,,,4219,Evje og Hornnes,42,Agder,3634,1
