organisation_number,company_name,Kommune,Fylke,n_employees
813549492,RK BYGG VEST AS,Øygarden,Vestland,1
813553392,DIN IT PARTNER AS,Eidsvoll,Viken,1
813554712,SVELVIK TENNISKLUBB,Drammen,Viken,3
813563932,HABITAT,Trondheim,Trøndelag - Trööndelage,7
813565722,ISS FACILITY SERVICES AS AVD ISS KANTINE NORDEA,Trondheim,Trøndelag - Trööndelage,1
813574802,KITCH'N TORGGATA,Oslo,Oslo,7
813581892,OMNIBYGG AS,Drammen,Viken,2
813587572,TIDE BUSS AS AVD HORTEN,Horten,Vestfold og Telemark,2
813599252,LOGOPED BENTE OLSEN TJØNN AS,Lærdal,Vestland,1
813599902,PAGE BLACK AS,Fredrikstad,Viken,1
